s1,s2,reason
DGBUSDT,ENSUSDT,beta_out_of_range (0.00)
KAVAUSDT,XECUSDT,beta_out_of_range (29770.29)
COMPUSDT,XLMUSDC,beta_out_of_range (584.25)
FILUSDC,XECUSDT,beta_out_of_range (236932.26)
ETHEUR,SANDUSDT,beta_out_of_range (2745.21)
ETCUSDT,PEPEUSDT,beta_out_of_range (6585381.15)
ETHEUR,PENDLEUSDT,beta_out_of_range (823.63)
ETHEUR,SANDUSDC,beta_out_of_range (2743.08)
MANAUSDT,SPELLUSDT,beta_out_of_range (1025.24)
LTCUSDT,WBTCUSDT,beta_out_of_range (0.00)
KSMUSDT,WOOUSDT,beta_out_of_range (102.49)
BTCUSDC,XECUSDT,beta_out_of_range (1514328781.07)
ICPUSDC,SHIBUSDC,beta_out_of_range (870335.89)
CRVUSDT,XECUSDT,beta_out_of_range (21603.26)
ICPUSDC,SHIBUSDT,beta_out_of_range (871044.73)
ICPUSDT,SHIBUSDT,beta_out_of_range (871577.53)
ICPUSDT,SHIBUSDC,beta_out_of_range (870851.76)
ATOMUSDT,RVNUSDT,beta_out_of_range (589.42)
BTCDAI,ETCUSDT,beta_out_of_range (2024.78)
BATUSDT,SHIBUSDC,beta_out_of_range (30344.23)
BTCUSDT,DGBUSDT,beta_out_of_range (5120800.57)
COMPUSDT,DGBUSDT,beta_out_of_range (6106.58)
BATUSDT,SHIBUSDT,beta_out_of_range (30366.46)
AAVEUSDT,XTZUSDT,beta_out_of_range (143.30)
XECUSDT,ZENUSDT,beta_out_of_range (0.00)
ETHUSDT,UNIUSDT,beta_out_of_range (231.96)
FETUSDT,JASMYUSDT,beta_out_of_range (121.48)
BABYDOGEUSDT,SHIBUSDC,beta_out_of_range (0.00)
ARBUSDC,WBTCUSDT,beta_out_of_range (0.00)
AVAXUSDC,JASMYUSDT,beta_out_of_range (4937.21)
DGBUSDT,LTCEUR,beta_out_of_range (0.00)
ACHUSDT,STETHUSDT,beta_out_of_range (0.00)
